"Date","stock_id","Open","High","Low","Volume","Close"
2018-09-21,6,54.562569,54.695461,52.502769,15344800,53.266888
2018-09-21,7,238.059998,238.520004,227.520004,12644700,227.740005
2018-09-21,8,132.929993,138.960007,132.850006,11094000,138.330002
2018-09-21,9,164.360001,167.389999,162.179993,1959900,166.309998
2018-09-21,10,61.16,62.02,59.470001,11001500,60.02
2018-09-21,11,116.940002,117.349998,113.57,27532000,114.5
2018-09-21,12,114,115.290001,112.220001,159675500,114.410004
2018-09-21,13,58.98,62.700001,58.119999,12464000,60.91
2018-09-21,14,46.389999,46.419998,45.299999,1284300,45.549999
2018-09-21,15,46.810001,48.360001,44.889999,28330600,45.27
2018-09-21,16,6.25,7.8,6.15,249900,6.3
2018-09-21,17,115.290001,119.43,113.739998,10720400,118.5
2018-09-21,18,49.68,53.130001,49.34,10632300,51.919998
2018-09-21,19,297.700012,314.959991,293.579987,30727500,307.519989
2018-09-21,20,29.860001,29.950001,27.93,107074500,29.42
2018-09-28,1,224.789993,233.470001,224.020004,132015200,227.990005
2018-09-28,2,32.240002,32.779999,26.540001,691441300,27.780001
2018-09-28,3,2004.410034,2033.189941,1896.569946,25456400,1909.420044
2018-09-28,4,461.799988,462.309998,431.440002,4374900,447.769989
2018-09-28,5,12.52,12.83,11.42,25797400,11.45
2018-09-28,6,53.100777,53.91473,52.170544,15744000,53.776302
2018-09-28,7,225.75,231.399994,223.800003,13299300,227.479996
2018-09-28,8,138.009995,141.050003,136.759995,8668600,139.220001
2018-09-28,9,166.580002,169.820007,162.300003,1960300,164.050003
2018-09-28,10,60.139999,61.119999,58.310001,10238900,59.330002
2018-09-28,11,116.629997,117.699997,110.019997,27135000,110.779999
2018-09-28,12,114.190002,116.18,111.629997,112787800,112.790001
2018-09-28,13,60.900002,61.209999,51.669998,14589200,52.110001
2018-09-28,14,45.549999,46.5,43.810001,1004200,44.200001
2018-09-28,15,45.43,47.790001,45.049999,24021000,46.990002
2018-09-28,16,6.3,6.3,5.7,78300,5.75
2018-09-28,17,118.260002,123,110.610001,11899400,111.879997
2018-09-28,18,51.799999,52.029999,49.950001,9626100,51.540001
2018-09-28,19,270.26001,316.839996,260.559998,84980000,281.829987
2018-09-28,20,29.25,29.280001,27.870001,101452000,28.23
2018-10-05,1,227.960007,228.410004,212.320007,185250400,214.449997
2018-10-05,2,28.07,28.469999,24.549999,591956500,25.299999
2018-10-05,3,1917.98999,1929.079956,1685.099976,43913200,1719.359985
2018-10-05,4,446.910004,455.76001,430.309998,3588900,433.929993
2018-10-05,5,11.43,12.01,11.12,28498800,11.13
2018-10-05,6,53.809525,54.20266,52.962349,15528100,53.687706
2018-10-05,7,228,228.410004,210.949997,16281100,212.970001
2018-10-05,8,139.229996,141.110001,132.240005,7960700,132.429993
2018-10-05,9,164.479996,166.460007,154.899994,2064400,155.380005
2018-10-05,10,59.529999,62.59,59.25,11785200,59.290001
2018-10-05,11,110.639999,111.110001,103.809998,24174700,104.230003
2018-10-05,12,112.629997,113.169998,104.199997,210188700,105.910004
2018-10-05,13,52.349998,53.529999,47.240002,9039800,47.900002
2018-10-05,14,45.169998,45.389999,42.43,1239600,42.790001
2018-10-05,15,47.189999,48.849998,46.52,27469300,46.619999
2018-10-05,16,5.75,5.85,5.5,67700,5.6
2018-10-05,17,111.629997,113.800003,98.120003,14929800,99.089996
2018-10-05,18,51.549999,51.650002,43.400002,18039100,44.650002
2018-10-05,19,274.649994,274.880005,247.770004,64460800,252.229996
2018-10-05,20,28.34,29.57,26.190001,147324500,27
2018-10-12,1,220.419998,222.990005,213,155779600,216.020004
2018-10-12,2,26.77,28.530001,25.67,443202500,26.620001
2018-10-12,3,1808,1845,1734.22998,32910900,1770.719971
2018-10-12,4,439.549988,444.640015,420.859985,3744600,431.730011
2018-10-12,5,11.26,11.46,10.76,41765200,10.84
2018-10-12,6,53.333332,53.765228,50.321152,22581100,52.325581
2018-10-12,7,217,228.899994,211.460007,21368400,224.949997
2018-10-12,8,133.990005,137.880005,132.339996,8716400,136.369995
2018-10-12,9,158.460007,162.660004,155.020004,2715800,156
2018-10-12,10,60.02,62.68,59.639999,8016900,60.110001
2018-10-12,11,105.75,107.029999,99.519997,24975800,99.709999
2018-10-12,12,109.010002,111.809998,106.949997,170474800,108.5
2018-10-12,13,49.360001,50.93,48.130001,6981500,49.560001
2018-10-12,14,43.759998,44.580002,43.299999,1260100,43.43
2018-10-12,15,46.77,49.110001,46.450001,22960200,48.240002
2018-10-12,16,5.5,6.5,5.5,203800,6.05
2018-10-12,17,102.25,106.730003,100.029999,10723100,101.269997
2018-10-12,18,45.77,47.84,44.41,7858600,46.380001
2018-10-12,19,261,282.700012,252.009995,37004500,263.910004
2018-10-12,20,28.09,30.24,27.26,109349400,29.290001
2018-10-19,1,218.059998,224.229996,214.539993,171419900,219.800003
2018-10-19,2,27.030001,27.1,17.719999,670384600,19.27
2018-10-19,3,1785.160034,1809.5,1656.560059,34345200,1782.170044
2018-10-19,4,433,437,411.549988,3769200,423.880005
2018-10-19,5,10.93,11.04,10.33,32861200,10.37
2018-10-19,6,53.156147,53.676632,51.683277,16437000,51.92691
2018-10-19,7,225.259995,228.869995,208.399994,16146500,214.009995
2018-10-19,8,136.350006,136.940002,126.220001,10577700,127.059998
2018-10-19,9,157.320007,160,150.990005,1739700,153.949997
2018-10-19,10,59.93,62,58.23,10989500,61.5
2018-10-19,11,99.779999,100.709999,95.599998,25685000,97.949997
2018-10-19,12,108.93,110.860001,101.589996,228646100,108.300003
2018-10-19,13,49.650002,51.279999,35.459999,19474600,36.77
2018-10-19,14,42.509998,42.509998,39.630001,1678900,40.18
2018-10-19,15,48.240002,49,46.66,21341000,47.369999
2018-10-19,16,6.05,6.65,5.2,143500,5.6
2018-10-19,17,101.970001,102.400002,90.720001,15969400,93.639999
2018-10-19,18,46.709999,49.389999,45.619999,7900700,48.75
2018-10-19,19,267.390015,321,252.589996,74902600,314.859985
2018-10-19,20,29.33,33.669998,27.309999,185497100,31.799999
2018-10-26,1,215.899994,222.360001,206.089996,226536000,222.220001
2018-10-26,2,18.49,20.33,16.17,560578200,20.219999
2018-10-26,3,1649.589966,1698.459961,1476.359985,58815700,1665.530029
2018-10-26,4,433.100006,478.420013,420.579987,5504900,472.619995
